标题,里程,日期,地区,会员,原价,现价,过户情况
宝马3系(进口) 2010款 320i豪华型,13万公里,2010-07,宁波,3年黄金会员,4.38,40.71万,0次过户
宝马3系 2017款 320Li M运动型,8.6万公里,2017-06,宁波,1年黄金会员,15.98,38.41万,0次过户
宝马M2 2018款 M2 雷霆版,5万公里,2019-08,宁波,2年黄金会员,40.80,68.80万,0次过户
宝马X1 2012款 sDrive18i 时尚型,8.6万公里,2012-11,杭州,3年钻石会员,6.18,30.61万,0次过户
宝马5系 2014款 525Li 豪华设计套装,8.4万公里,2015-04,宁波,1年黄金会员,16.80,54.23万,0次过户
宝马4系 2014款 428i 风尚设计套装,9万公里,2017-04,绍兴,3年黄金会员,19.80,64.69万,0次过户
宝马M6 2013款 M6 Gran Coupe,6.2万公里,2015-03,杭州,6年黄金会员,69.50,260.40万,0次过户
宝马5系 2014款 525Li 豪华设计套装,11万公里,2015-03,宁波,1年黄金会员,18.68,54.23万,无
宝马3系 2011款 325i 时尚型,9万公里,2011-02,宁波,1年黄金会员,4.68,44.40万,0次过户
宝马5系 2020款 525Li M运动套装,5.6万公里,2020-01,丽水,4年黄金会员,33.68,46.34万,无
宝马4系 2021款 425i 敞篷M运动套装,1万公里,2021-09,台州,2年黄金会员,47.80,50.89万,准新车-0次过户
宝马6系 2013款 改款 640i Gran Coupe,6万公里,2014-08,绍兴,3年黄金会员,22.80,103.34万,无
宝马5系 2019款 525Li M运动套装,8万公里,2019-05,绍兴,5年黄金会员,29.98,46.34万,无
宝马5系 2008款 523Li 领先型,13万公里,2009-04,宁波,1年黄金会员,4.28,52.82万,无
宝马7系 2008款 730Li领先型,16万公里,2007-11,宁波,1年黄金会员,5.50,94.22万,无
宝马X1 2012款 sDrive18i 时尚型,10万公里,2012-07,宁波,1年黄金会员,6.08,30.61万,无
宝马X5(进口) 2017款 xDrive28i,12万公里,2016-12,金华,2年黄金会员,33.98,82.28万,0次过户
宝马5系 2019款 530Li 尊享型 M运动套装,5.6万公里,2018-12,宁波,1年黄金会员,31.58,55.02万,0次过户
宝马3系 2019款 320Li M豪华套装,3.8万公里,2019-10,宁波,1年黄金会员,19.58,36.88万,0次过户
宝马5系 2019款 525Li M运动套装,5.7万公里,2018-12,宁波,1年黄金会员,27.30,46.34万,0次过户
宝马4系 2016款 430i 敞篷设计套装型,7万公里,2017-04,宁波,1年黄金会员,22.60,73.38万,0次过户
宝马5系新能源 2020款 里程升级版 530Le 豪华套装,8万公里,2020-09,宁波,1年黄金会员,31.60,54.26万,0次过户-原厂质保
宝马X3 2019款 xDrive28i M运动套装,6万公里,2019-06,宁波,1年黄金会员,28.60,46.22万,0次过户
宝马3系(进口) 2009款 320i双门轿跑车,8万公里,2010-02,杭州,3年钻石会员,6.18,54.06万,0次过户
宝马X1 2019款 sDrive20Li 领先型,3.6万公里,2019-01,宁波,1年黄金会员,16.00,33.63万,0次过户
宝马7系 2019款 730Li M运动套装,5万公里,2019-08,宁波,1年黄金会员,51.80,89.88万,0次过户
宝马2系 2017款 220i 敞篷轿跑车 领先型,7.6万公里,2017-01,杭州,7年黄金会员,18.80,40.27万,0次过户
宝马3系 2005款 325i 领先型,16万公里,2006-10,宁波,2年黄金会员,3.30,50.04万,0次过户
宝马3系 2016款 320Li 时尚型,7万公里,2015-12,宁波,2年黄金会员,15.80,37.97万,0次过户
宝马3系 2016款 320Li 时尚型,8万公里,2016-02,宁波,2年黄金会员,14.58,37.97万,0次过户
宝马5系 2008款 530Li 领先型,15万公里,2009-01,宁波,1年黄金会员,4.49,70.19万,0次过户
宝马5系 2011款 535Li 豪华型,21万公里,2011-09,绍兴,3年黄金会员,11.80,75.61万,无
宝马5系GT 2013款 535i 领先型,14万公里,2012-12,绍兴,3年黄金会员,17.80,96.72万,0次过户
宝马X1 2014款 sDrive18i 时尚型,6.6万公里,2015-03,温州,2年黄金会员,10.90,30.94万,0次过户
宝马4系 2014款 428i 敞篷豪华设计套装,5.75万公里,2014-08,丽水,4年黄金会员,24.98,73.38万,无
宝马5系 2011款 523Li 领先型,18万公里,2011-11,嘉兴,1年黄金会员,9.00,48.80万,0次过户
宝马4系 2019款 425i Gran Coupe M运动曜夜版,3万公里,2019-10,温州,4年黄金会员,29.98,42.31万,新上架-0次过户
宝马8系 2019款 840i 双门轿跑车 M运动套装,0.4万公里,2021-01,杭州,2年黄金会员,81.50,119.18万,新上架-0次过户
宝马X3 2022款 改款 xDrive30i 领先型 M曜夜套装,0.01万公里,未上牌,杭州,5年黄金会员,36.98,47.97万,新上架-准新车
宝马3系 2015款 320Li 超悦版时尚型,10万公里,2015-06,金华,3年黄金会员,13.80,37.97万,新上架-0次过户
宝马1系 2019款 118i M运动套装,4万公里,2019-05,宁波,3年会员,10.00,24.29万,新上架-0次过户
宝马5系 2018款 528Li 上市特别版,10万公里,2018-04,温州,3年黄金会员,25.80,48.84万,新上架
宝马1系 2020款 125i 领先型M运动套装,3万公里,2020-02,温州,4年黄金会员,13.38,26.46万,无
宝马3系 2020款 320i 运动套装,1万公里,2020-08,绍兴,5年黄金会员,25.98,31.90万,原厂质保
宝马X3 2018款 xDrive28i M运动套装 国VI,9.27万公里,2019-01,台州,7年钻石会员,27.50,46.22万,无
宝马X7 2021款 xDrive40i 尊享型豪华套装,2万公里,2021-03,杭州,3年会员,89.80,120.27万,准新车-0次过户
宝马5系(进口) 2021款 525i M运动套装,4.5万公里,2021-01,台州,2年黄金会员,32.80,46.01万,0次过户-原厂质保
宝马3系 2021款 改款 325Li M运动套装,0.51万公里,2021-09,杭州,5年黄金会员,29.60,37.66万,准新车-原厂质保
宝马X1 2021款 sDrive20Li 时尚型,1.46万公里,2021-08,杭州,5年黄金会员,17.80,30.37万,准新车-原厂质保
宝马3系 2022款 325i M运动套装,0.69万公里,2021-12,杭州,5年黄金会员,27.90,33.90万,准新车-原厂质保
宝马iX3 2022款 领先型,0.66万公里,2022-05,杭州,5年黄金会员,28.50,43.41万,准新车-原厂质保
宝马X3(进口) 2016款 xDrive20i M运动型,9万公里,2017-03,温州,1年会员,18.80,54.49万,0次过户
宝马5系新能源 2019款 530Le 豪华套装,7万公里,2018-08,宁波,1年会员,18.80,54.49万,0次过户
宝马3系 2020款 改款 325Li 首发版,1.9万公里,2020-08,温州,1年会员,18.80,54.49万,0次过户
宝马5系 2013款 525Li 领先型,13万公里,2013-11,金华,3年黄金会员,14.80,49.89万,0次过户
宝马6系GT 2020款 630i M运动大旅行家版,4万公里,2020-04,杭州,7年黄金会员,45.80,74.24万,0次过户-原厂质保
宝马X1 2019款 sDrive18Li 尊享型,6万公里,2019-05,杭州,2年黄金会员,13.68,32.22万,0次过户
宝马X3 2020款 xDrive28i 豪华套装,2.3万公里,2020-01,杭州,2年黄金会员,30.80,46.22万,0次过户
宝马5系 2014款 520Li 典雅型,10万公里,2016-05,丽水,1年会员,18.88,47.28万,0次过户
宝马X1 2016款 sDrive18Li 尊享型,9万公里,2016-11,温州,3年黄金会员,10.50,33.22万,无
宝马5系 2018款 528Li 上市特别版,5万公里,2018-03,宁波,3年会员,24.00,48.84万,0次过户
宝马3系 2018款 320i M运动套装,7万公里,2018-03,宁波,3年会员,16.00,34.39万,0次过户
宝马X1 2020款 sDrive20Li 时尚型,3.6万公里,2020-09,台州,1年黄金会员,17.30,30.26万,0次过户-原厂质保
宝马3系 2021款 325Li M运动套装,3万公里,2021-03,宁波,1年黄金会员,17.30,30.26万,0次过户-原厂质保
宝马6系 2012款 640i双门轿跑车,9万公里,2013-12,台州,7年钻石会员,20.98,122.44万,无
宝马3系 2020款 325i M运动套装,3万公里,2020-07,宁波,1年黑金会员,26.00,34.07万,0次过户-原厂质保
宝马3系 2012款 320i 时尚型,11万公里,2012-01,温州,3年黄金会员,4.68,38.10万,无
宝马3系 2019款 320Li M豪华套装,5万公里,2019-03,宁波,4年黄金会员,20.60,36.88万,0次过户
宝马3系 2017款 320Li 时尚型,7万公里,2017-06,宁波,4年黄金会员,15.60,35.38万,0次过户
宝马4系 2016款 420i 设计套装型,6.9万公里,2017-06,杭州,1年会员,20.98,57.31万,无
宝马3系 2021款 325Li M运动套装,2.8万公里,2021-01,台州,5年黄金会员,29.88,37.66万,0次过户-原厂质保
宝马5系 2013款 520Li 典雅型,11万公里,2013-07,温州,1年会员,11.68,46.52万,0次过户
宝马3系 2020款 325Li M运动套装,3万公里,2019-11,温州,3年黄金会员,26.50,37.66万,0次过户
宝马5系 2011款 523Li 领先型,10万公里,2011-12,温州,1年会员,10.80,48.80万,0次过户
宝马7系 2017款 740Li 领先型,8.5万公里,2017-06,杭州,4年黄金会员,40.98,128.95万,0次过户
宝马4系 2022款 425i M运动套装,1.3万公里,2022-02,金华,1年黄金会员,37.28,40.59万,准新车-0次过户
宝马5系 2014款 525Li 领先型,10万公里,2016-01,金华,1年黄金会员,16.98,50.65万,0次过户
宝马5系 2011款 523Li 领先型,13万公里,2011-09,金华,3年黄金会员,9.60,48.80万,无
宝马3系 2014款 320Li 时尚型,10万公里,2014-12,温州,1年会员,11.80,38.95万,0次过户
宝马3系 2012款 320i 豪华型,9万公里,2012-12,温州,1年会员,5.80,42.20万,0次过户
宝马X5(进口) 2019款 xDrive40i 尊享型 M运动套装,9.4万公里,2019-10,嘉兴,6年黄金会员,55.00,92.25万,0次过户
宝马iX3 2022款 领先型,0.5万公里,2022-01,台州,3年黄金会员,29.80,43.41万,准新车-0次过户
宝马5系 2021款 530Li 领先型 M运动套装,2万公里,2021-04,金华,7年黄金会员,38.98,50.68万,准新车-原厂质保
宝马X3 2020款  xDrive30i 领先型 M运动套装,3.7万公里,2020-07,台州,3年黄金会员,34.98,52.08万,原厂质保
宝马M3 2021款 M3四门轿车 雷霆版,2万公里,2021-08,杭州,7年黄金会员,88.80,92.25万,准新车-0次过户
宝马4系 2014款 428i 敞篷风尚设计套装,6万公里,2016-01,宁波,3年会员,22.50,73.38万,0次过户
宝马3系 2020款 320Li M运动套装,3万公里,2020-08,宁波,3年会员,21.50,34.62万,0次过户-原厂质保
宝马3系 2021款 改款 320Li M运动套装,1.5万公里,2021-02,杭州,4年黄金会员,26.80,34.62万,准新车-0次过户
宝马iX3 2022款 领先型,1.3万公里,2022-02,杭州,4年黄金会员,28.80,43.41万,准新车-0次过户
宝马X1 2022款 sDrive20Li 尊享型,0.01万公里,未上牌,台州,3年黄金会员,19.99,32.43万,准新车-0次过户
宝马4系 2022款 425i M运动套装,1.43万公里,2022-01,杭州,5年黄金会员,38.98,40.59万,准新车-原厂质保
宝马3系 2017款 320Li M运动型,11万公里,2017-08,绍兴,4年黄金会员,16.58,38.41万,0次过户
宝马1系 2018款 118i 运动型,4万公里,2018-05,绍兴,4年黄金会员,10.98,24.51万,0次过户
宝马5系新能源 2020款 530Le 豪华套装,5万公里,2019-12,绍兴,4年黄金会员,29.58,54.26万,0次过户
宝马3系 2013款 320Li 时尚型,8.7万公里,2014-05,温州,3年会员,11.98,38.49万,0次过户
宝马3系 2015款 320Li 时尚型,4.1万公里,2015-05,温州,3年会员,14.80,38.95万,0次过户
宝马1系 2018款 118i 运动型,6万公里,2018-07,金华,1年会员,10.80,24.51万,0次过户
宝马X1(进口) 2010款 xDrive25i,17.8万公里,2012-01,金华,3年会员,6.99,51.34万,0次过户
宝马1系(进口) 2013款 改款 116i 都市型,10.6万公里,2012-05,金华,3年会员,6.39,30.61万,无
宝马3系 2021款 325Li xDrive M运动套装,3.7万公里,2021-02,台州,5年黄金会员,30.58,39.28万,准新车-原厂质保
宝马3系GT 2019款 320i M运动型,5.1万公里,2019-10,嘉兴,6年黄金会员,21.80,44.48万,0次过户
宝马7系 2009款 740Li尊贵型,20万公里,2011-05,台州,6年黄金会员,11.98,153.05万,无
宝马7系 2011款 730Li典雅型,13万公里,2012-11,温州,1年会员,16.80,97.48万,0次过户
宝马3系GT 2013款 320i 领先型,14万公里,2014-05,金华,3年黄金会员,14.00,48.30万,0次过户
宝马3系 2018款 320Li 领先型M运动套装,4.3万公里,2018-09,衢州,5年黄金会员,19.98,37.97万,无
宝马5系 2011款 523Li 豪华型,17万公里,2011-11,金华,3年黄金会员,10.60,53.14万,无
宝马X1 2018款 sDrive18Li 时尚型,4万公里,2018-06,金华,2年黄金会员,13.80,30.81万,0次过户
宝马X1(进口) 2010款 sDrive18i豪华型,15万公里,2011-01,金华,3年黄金会员,4.98,39.84万,0次过户
宝马X5(进口) 2008款 xDrive30i豪华型,13万公里,2008-08,温州,4年黄金会员,7.88,98.45万,0次过户
宝马X5(进口) 2008款 xDrive48i豪华型,8.38万公里,2009-01,温州,4年黄金会员,8.38,188.44万,0次过户
宝马3系(进口) 2011款 330i敞篷轿跑版,13万公里,2011-11,绍兴,4年黄金会员,11.88,80.65万,0次过户
宝马7系 2018款 730Li 领先型 M运动套装,14万公里,2018-08,宁波,3年会员,37.98,87.71万,无
宝马3系 2019款 320Li M运动曜夜版,3万公里,2019-03,温州,3年黄金会员,18.80,39.06万,0次过户
宝马X3(进口) 2016款 sDrive20i,4.9万公里,2017-07,杭州,4年黄金会员,18.98,45.70万,0次过户
宝马5系 2014款 520Li 典雅型,10万公里,2016-05,丽水,1年会员,18.88,47.28万,0次过户
宝马X1 2016款 sDrive18Li 尊享型,9万公里,2016-11,温州,3年黄金会员,10.50,33.22万,无
宝马5系 2018款 528Li 上市特别版,5万公里,2018-03,宁波,3年会员,24.00,48.84万,0次过户
宝马3系 2018款 320i M运动套装,7万公里,2018-03,宁波,3年会员,16.00,34.39万,0次过户
宝马X1 2020款 sDrive20Li 时尚型,3.6万公里,2020-09,台州,1年黄金会员,17.30,30.26万,0次过户-原厂质保
宝马3系 2021款 325Li M运动套装,3万公里,2021-03,宁波,1年黄金会员,17.30,30.26万,0次过户-原厂质保
宝马6系 2012款 640i双门轿跑车,9万公里,2013-12,台州,7年钻石会员,20.98,122.44万,无
宝马3系 2020款 325i M运动套装,3万公里,2020-07,宁波,1年黑金会员,26.00,34.07万,0次过户-原厂质保
宝马3系 2012款 320i 时尚型,11万公里,2012-01,温州,3年黄金会员,4.68,38.10万,无
宝马3系 2019款 320Li M豪华套装,5万公里,2019-03,宁波,4年黄金会员,20.60,36.88万,0次过户
宝马3系 2017款 320Li 时尚型,7万公里,2017-06,宁波,4年黄金会员,15.60,35.38万,0次过户
宝马4系 2016款 420i 设计套装型,6.9万公里,2017-06,杭州,1年会员,20.98,57.31万,无
宝马3系 2021款 325Li M运动套装,2.8万公里,2021-01,台州,5年黄金会员,29.88,37.66万,0次过户-原厂质保
宝马5系 2013款 520Li 典雅型,11万公里,2013-07,温州,1年会员,11.68,46.52万,0次过户
宝马3系 2020款 325Li M运动套装,3万公里,2019-11,温州,3年黄金会员,26.50,37.66万,0次过户
宝马5系 2011款 523Li 领先型,10万公里,2011-12,温州,1年会员,10.80,48.80万,0次过户
宝马7系 2017款 740Li 领先型,8.5万公里,2017-06,杭州,4年黄金会员,40.98,128.95万,0次过户
宝马4系 2022款 425i M运动套装,1.3万公里,2022-02,金华,1年黄金会员,37.28,40.59万,准新车-0次过户
宝马5系 2014款 525Li 领先型,10万公里,2016-01,金华,1年黄金会员,16.98,50.65万,0次过户
宝马5系 2011款 523Li 领先型,13万公里,2011-09,金华,3年黄金会员,9.60,48.80万,无
宝马3系 2014款 320Li 时尚型,10万公里,2014-12,温州,1年会员,11.80,38.95万,0次过户
宝马3系 2012款 320i 豪华型,9万公里,2012-12,温州,1年会员,5.80,42.20万,0次过户
宝马X5(进口) 2019款 xDrive40i 尊享型 M运动套装,9.4万公里,2019-10,嘉兴,6年黄金会员,55.00,92.25万,0次过户
宝马iX3 2022款 领先型,0.5万公里,2022-01,台州,3年黄金会员,29.80,43.41万,准新车-0次过户
宝马5系 2021款 530Li 领先型 M运动套装,2万公里,2021-04,金华,7年黄金会员,38.98,50.68万,准新车-原厂质保
宝马X3 2020款  xDrive30i 领先型 M运动套装,3.7万公里,2020-07,台州,3年黄金会员,34.98,52.08万,原厂质保
宝马M3 2021款 M3四门轿车 雷霆版,2万公里,2021-08,杭州,7年黄金会员,88.80,92.25万,准新车-0次过户
宝马4系 2014款 428i 敞篷风尚设计套装,6万公里,2016-01,宁波,3年会员,22.50,73.38万,0次过户
宝马3系 2020款 320Li M运动套装,3万公里,2020-08,宁波,3年会员,21.50,34.62万,0次过户-原厂质保
宝马3系 2021款 改款 320Li M运动套装,1.5万公里,2021-02,杭州,4年黄金会员,26.80,34.62万,准新车-0次过户
宝马iX3 2022款 领先型,1.3万公里,2022-02,杭州,4年黄金会员,28.80,43.41万,准新车-0次过户
宝马X1 2022款 sDrive20Li 尊享型,0.01万公里,未上牌,台州,3年黄金会员,19.99,32.43万,准新车-0次过户
宝马4系 2022款 425i M运动套装,1.43万公里,2022-01,杭州,5年黄金会员,38.98,40.59万,准新车-原厂质保
宝马3系 2017款 320Li M运动型,11万公里,2017-08,绍兴,4年黄金会员,16.58,38.41万,0次过户
宝马1系 2018款 118i 运动型,4万公里,2018-05,绍兴,4年黄金会员,10.98,24.51万,0次过户
宝马5系新能源 2020款 530Le 豪华套装,5万公里,2019-12,绍兴,4年黄金会员,29.58,54.26万,0次过户
宝马3系 2013款 320Li 时尚型,8.7万公里,2014-05,温州,3年会员,11.98,38.49万,0次过户
宝马3系 2015款 320Li 时尚型,4.1万公里,2015-05,温州,3年会员,14.80,38.95万,0次过户
宝马1系 2018款 118i 运动型,6万公里,2018-07,金华,1年会员,10.80,24.51万,0次过户
宝马X1(进口) 2010款 xDrive25i,17.8万公里,2012-01,金华,3年会员,6.99,51.34万,0次过户
宝马1系(进口) 2013款 改款 116i 都市型,10.6万公里,2012-05,金华,3年会员,6.39,30.61万,无
宝马3系 2021款 325Li xDrive M运动套装,3.7万公里,2021-02,台州,5年黄金会员,30.58,39.28万,准新车-原厂质保
宝马3系GT 2019款 320i M运动型,5.1万公里,2019-10,嘉兴,6年黄金会员,21.80,44.48万,0次过户
宝马7系 2009款 740Li尊贵型,20万公里,2011-05,台州,6年黄金会员,11.98,153.05万,无
宝马7系 2011款 730Li典雅型,13万公里,2012-11,温州,1年会员,16.80,97.48万,0次过户
宝马3系GT 2013款 320i 领先型,14万公里,2014-05,金华,3年黄金会员,14.00,48.30万,0次过户
宝马3系 2018款 320Li 领先型M运动套装,4.3万公里,2018-09,衢州,5年黄金会员,19.98,37.97万,无
宝马5系 2011款 523Li 豪华型,17万公里,2011-11,金华,3年黄金会员,10.60,53.14万,无
宝马X1 2018款 sDrive18Li 时尚型,4万公里,2018-06,金华,2年黄金会员,13.80,30.81万,0次过户
宝马X1(进口) 2010款 sDrive18i豪华型,15万公里,2011-01,金华,3年黄金会员,4.98,39.84万,0次过户
宝马X5(进口) 2008款 xDrive30i豪华型,13万公里,2008-08,温州,4年黄金会员,7.88,98.45万,0次过户
宝马X5(进口) 2008款 xDrive48i豪华型,8.38万公里,2009-01,温州,4年黄金会员,8.38,188.44万,0次过户
宝马3系(进口) 2011款 330i敞篷轿跑版,13万公里,2011-11,绍兴,4年黄金会员,11.88,80.65万,0次过户
宝马7系 2018款 730Li 领先型 M运动套装,14万公里,2018-08,宁波,3年会员,37.98,87.71万,无
宝马3系 2019款 320Li M运动曜夜版,3万公里,2019-03,温州,3年黄金会员,18.80,39.06万,0次过户
宝马X3(进口) 2016款 sDrive20i,4.9万公里,2017-07,杭州,4年黄金会员,18.98,45.70万,0次过户
宝马2系 2015款 218i,8万公里,2017-07,温州,1年黄金会员,10.88,29.96万,0次过户
宝马3系 2013款 改款 320Li 豪华设计套装,10万公里,2014-08,温州,1年黄金会员,12.98,42.98万,无
宝马5系 2019款 530Li 领先型 豪华套装,4万公里,2019-04,绍兴,4年黄金会员,34.88,50.36万,0次过户
宝马X5(进口) 2015款 xDrive28i,21万公里,2015-12,杭州,1年黄金会员,25.80,82.28万,无
宝马2系 2015款 218i 敞篷轿跑车,6万公里,2016-03,宁波,3年会员,14.80,35.31万,无
宝马X5(进口) 2008款 xDrive30i领先型,20万公里,2008-08,杭州,2年黄金会员,6.88,90.85万,0次过户
宝马3系 2020款 325Li xDrive M运动套装,4.4万公里,2020-01,宁波,1年黄金会员,25.80,39.28万,0次过户
宝马5系GT 2013款 535i 领先型,10万公里,2013-04,宁波,3年会员,17.00,96.72万,0次过户
宝马7系 2021款 740Li 领先型 M运动套装,2.6万公里,2021-04,台州,2年黄金会员,71.80,101.82万,准新车-0次过户
宝马2系 2015款 218i 敞篷轿跑车,6万公里,2017-08,绍兴,3年黄金会员,17.98,35.31万,0次过户
宝马3系 2018款 320Li 领先型M运动套装,5万公里,2018-05,宁波,3年黄金会员,17.98,35.31万,0次过户
宝马X3(进口) 2014款 xDrive20i 领先型,7.2万公里,2015-02,宁波,2年黄金会员,15.80,49.93万,无
宝马7系 2013款 740Li 领先型,16万公里,2013-02,台州,5年黄金会员,19.80,132.81万,无
宝马X1 2019款 sDrive18Li 时尚型,4.7万公里,2019-06,绍兴,2年黄金会员,15.80,30.05万,0次过户
宝马X3 2019款 xDrive28i M运动套装,7.49万公里,2019-09,杭州,5年黄金会员,28.98,46.22万,无
宝马3系(进口) 2013款 320i运动设计套装,16万公里,2012-10,绍兴,4年黄金会员,9.98,41.14万,无
宝马1系 2017款 118i 时尚型,4万公里,2017-12,杭州,2年黄金会员,9.88,22.23万,0次过户
宝马3系 2013款 320Li 时尚型,16万公里,2013-04,台州,6年黄金会员,11.50,38.49万,0次过户
宝马X3 2020款 xDrive25i M运动套装,4万公里,2020-04,衢州,5年黄金会员,30.88,42.31万,0次过户-原厂质保
宝马Z4 2022款 sDrive 25i M运动套装,0.8万公里,2021-10,台州,2年黄金会员,43.80,53.06万,准新车-0次过户
宝马X5(进口) 2015款 xDrive28i,12万公里,2016-02,杭州,3年黄金会员,28.80,82.28万,新上架-0次过户
宝马X5(进口) 2020款 xDrive40i M运动套装,3.9万公里,2020-05,嘉兴,5年钻石会员,59.80,82.48万,无
宝马5系 2017款 525Li 领先型,10万公里,2016-12,台州,1年黄金会员,15.80,50.65万,0次过户
宝马5系 2020款 530Li 尊享型 M运动套装,2.3万公里,2020-10,嘉兴,2年黄金会员,38.28,55.02万,0次过户-原厂质保
宝马X6 2015款 xDrive35i 领先型,11万公里,2016-12,金华,6年黄金会员,29.68,99.65万,0次过户
宝马1系 2021款 125i M运动曜夜版,2.2万公里,2021-01,杭州,4年黄金会员,15.28,26.79万,0次过户-原厂质保
宝马X1新能源 2018款 xDrive25Le 豪华型,6.1万公里,2018-06,金华,3年黄金会员,14.60,43.07万,0次过户
宝马M2 2016款 M2,6.4万公里,2017-06,台州,7年钻石会员,31.50,69.52万,无
宝马4系 2021款 改款 430i M运动曜夜版,2.1万公里,2021-08,杭州,2年黄金会员,45.80,49.91万,准新车-原厂质保
宝马X5(进口) 2020款 xDrive40i M运动套装,7万公里,2020-10,杭州,2年黄金会员,60.80,82.48万,0次过户-原厂质保
宝马X3 2019款 xDrive28i 豪华套装,2.7万公里,2019-10,温州,1年黄金会员,27.90,46.22万,0次过户
宝马4系 2021款 425i M运动曜夜版,1.8万公里,2021-03,杭州,3年黄金会员,37.98,43.07万,准新车-0次过户
宝马3系 2017款 320Li M运动型,8万公里,2017-01,金华,5年黄金会员,16.20,38.41万,0次过户
宝马5系 2018款 530Li 尊享型 M运动套装,9万公里,2017-11,宁波,1年黄金会员,28.58,56.98万,0次过户
宝马7系 2010款 760Li,15万公里,2012-08,宁波,6年黄金会员,22.80,273.32万,0次过户
宝马X3(进口) 2011款 xDrive28i 领先型,15.1万公里,2012-01,金华,5年黄金会员,9.80,59.16万,0次过户
宝马3系 2015款 328Li 时尚型,12万公里,2015-03,金华,5年黄金会员,14.50,46.76万,0次过户
宝马5系 2022款 525Li M运动套装,0.6万公里,2022-06,台州,3年黄金会员,38.80,46.01万,准新车-原厂质保
宝马3系 2021款 325Li M运动套装,2.79万公里,2021-01,嘉兴,3年钻石会员,29.88,37.66万,原厂质保
宝马X2 2021款 sDrive20i M越野套装,2.52万公里,2021-03,嘉兴,3年钻石会员,17.98,28.96万,准新车-原厂质保
宝马M4 2021款 M4双门轿跑车 雷霆版,0.18万公里,2021-11,嘉兴,3年钻石会员,88.88,95.51万,准新车-0次过户
宝马5系 2011款 523Li 领先型,12.7万公里,2011-05,杭州,3年黄金会员,9.88,48.80万,0次过户
宝马3系 2022款 320i 运动套装,2万公里,2022-03,金华,6年黄金会员,24.58,31.90万,准新车-0次过户
宝马7系 2011款 730Li典雅型,15万公里,2011-11,台州,1年黄金会员,11.60,97.48万,0次过户
宝马X5(进口) 2017款 xDrive35i 典雅型,6万公里,2017-06,温州,1年黄金会员,37.99,90.96万,0次过户
宝马5系GT 2017款 528i 领先型,7万公里,2017-05,温州,1年黄金会员,26.60,76.09万,0次过户
宝马5系 2018款 530Li 尊享型 M运动套装,6万公里,2018-10,杭州,2年黄金会员,31.98,56.98万,无
宝马1系 2021款 改款 120i M运动曜夜版,1万公里,2022-01,绍兴,2年黄金会员,15.68,24.62万,准新车-0次过户
宝马3系 2023款 330i M运动曜夜套装,0.01万公里,未上牌,嘉兴,3年钻石会员,35.50,41.45万,准新车-0次过户
宝马3系 2021款 330i M运动曜夜套装,0.08万公里,未上牌,嘉兴,3年钻石会员,35.38,41.24万,准新车-0次过户
宝马4系 2022款 430i Gran Coupe M运动曜夜套装,1.15万公里,2022-04,杭州,1年黄金会员,47.18,51.66万,准新车-原厂质保
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,1.2万公里,2021-12,嘉兴,3年钻石会员,37.58,47.41万,准新车-原厂质保
宝马X2 2022款 sDrive25i M越野套装,0.01万公里,未上牌,嘉兴,3年钻石会员,19.88,31.02万,准新车-0次过户
宝马3系 2019款 320Li M运动套装,6.5万公里,2019-07,嘉兴,5年钻石会员,21.80,36.88万,0次过户
宝马7系 2019款 M760Li xDrive V12 运动套装,0.15万公里,2021-11,嘉兴,3年钻石会员,198.88,263.55万,准新车-0次过户
宝马X5(进口) 2014款 xDrive35i 领先型,12.5万公里,2014-06,宁波,1年黄金会员,25.50,99.65万,0次过户
宝马X1 2018款 xDrive20Li 豪华型,6.3万公里,2018-05,宁波,1年黄金会员,25.50,99.65万,0次过户
宝马X1 2018款 sDrive18Li 尊享型,6.58万公里,2017-10,宁波,1年黄金会员,13.38,32.98万,0次过户
宝马7系 2011款 730Li典雅型,15万公里,2011-06,宁波,1年黄金会员,14.30,97.48万,无
宝马3系 2020款 改款 325i M运动曜夜套装,0.9万公里,2020-06,宁波,1年黄金会员,27.00,35.81万,原厂质保
宝马5系GT 2011款 535i 典雅型,12万公里,2012-11,宁波,1年黄金会员,14.80,87.81万,0次过户
宝马X5(进口) 2014款 xDrive35i 领先型,10万公里,2014-05,宁波,1年黄金会员,26.80,99.65万,0次过户
宝马5系GT 2010款 535i 豪华型,15万公里,2011-07,宁波,1年黄金会员,14.50,105.07万,无
宝马6系 2016款 640i Gran Coupe,7.8万公里,2018-11,宁波,1年黄金会员,39.88,93.13万,0次过户
宝马5系 2020款 530Li 尊享型 M运动套装,4万公里,2019-12,宁波,1年黄金会员,35.60,55.02万,0次过户
宝马X1 2016款 sDrive18Li 尊享型,7.9万公里,2017-04,金华,3年黄金会员,12.80,33.22万,无
宝马5系 2014款 525Li 领先型,14万公里,2014-06,宁波,3年黄金会员,12.80,33.22万,无
宝马5系 2017款 520Li 典雅型,13万公里,2017-01,金华,2年黄金会员,19.80,47.28万,无
宝马7系 2010款 760Li,12万公里,2013-03,宁波,6年黄金会员,28.80,273.32万,0次过户
宝马X3 2018款 xDrive25i M运动套装 国VI,13万公里,2019-03,金华,5年黄金会员,24.50,42.31万,无
宝马5系 2013款 525Li 豪华型,12万公里,2012-12,杭州,3年黄金会员,12.98,53.69万,无
