,品牌,生产,型号,里程,日期,地区,会员,原价,现价,过户情况
512,宝马X3,2022款,改款二,0.01万公里,未上牌,杭州,5年黑金会员,36.99,47.97万,准新车-0次过户
513,宝马X3,2022款,改款,0.01万公里,未上牌,杭州,5年黄金会员,36.98,47.97万,新上架-准新车
514,宝马X3,2022款,改款,0.01万公里,未上牌,杭州,6年黄金会员,36.8,47.97万,新上架-准新车
515,宝马X3,2022款,改款,1万公里,2022-01,金华,3年黄金会员,36.8,47.97万,无
516,宝马X3,2022款,改款二,0.01万公里,未上牌,杭州,6年钻石会员,36.88,47.97万,新上架-准新车
517,宝马3系GT,2013款,320i,14万公里,2014-05,金华,3年黄金会员,14.0,48.30万,0次过户
518,宝马3系,2018款,330i,8.1万公里,2018-11,湖州,1年黄金会员,20.88,48.50万,4S店直卖
519,宝马4系,2022款,430i,1.6万公里,2021-10,杭州,2年黄金会员,46.8,48.72万,准新车-0次过户
520,宝马3系,2013款,328Li,11.3万公里,2013-03,宁波,1年黄金会员,9.78,48.74万,无
521,宝马5系,2011款,523Li,18万公里,2011-11,嘉兴,1年黄金会员,9.0,48.80万,0次过户
522,宝马5系,2011款,523Li,12.7万公里,2011-05,杭州,3年黄金会员,9.88,48.80万,0次过户
523,宝马5系,2011款,523Li,10万公里,2011-12,温州,1年会员,10.8,48.80万,0次过户
524,宝马5系,2011款,523Li,22万公里,2011-12,湖州,1年黄金会员,8.25,48.80万,0次过户
525,宝马5系,2011款,523Li,13万公里,2011-09,金华,3年黄金会员,9.6,48.80万,无
526,宝马5系,2019款,530Li,5.5万公里,2019-11,宁波,1年会员,10.8,48.80万,无
527,宝马5系,2011款,523Li,10.6万公里,2011-12,宁波,1年会员,10.8,48.80万,无
528,宝马2系,2018款,M240i,8万公里,2018-04,杭州,4年黄金会员,28.8,48.82万,0次过户
529,宝马5系,2018款,528Li,9万公里,2017-11,宁波,1年黄金会员,23.88,48.84万,新上架-0次过户
530,宝马5系,2018款,528Li,12.5万公里,2018-01,杭州,2年黄金会员,27.5,48.84万,无
531,宝马5系,2018款,528Li,5.8万公里,2018-01,嘉兴,4年黄金会员,28.99,48.84万,0次过户
532,宝马5系,2018款,528Li,7万公里,2017-12,宁波,1年黄金会员,24.88,48.84万,无
533,宝马5系,2018款,528Li,11万公里,2018-01,温州,1年黄金会员,25.8,48.84万,新上架
534,宝马5系,2018款,528Li,8万公里,2018-03,温州,4年黄金会员,25.98,48.84万,无
535,宝马5系,2018款,528Li,5万公里,2018-03,宁波,3年会员,24.0,48.84万,0次过户
536,宝马5系,2018款,528Li,10万公里,2018-04,温州,3年黄金会员,25.8,48.84万,新上架
537,宝马5系,2018款,528Li,8万公里,2018-03,金华,6年黄金会员,26.58,48.84万,无
538,宝马X4,2021款,xDrive,2.2万公里,2021-03,宁波,4年会员,34.6,49.49万,准新车-0次过户
539,宝马X4,2020款,xDrive25i,6万公里,2019-12,温州,3年黄金会员,29.8,49.49万,无
540,宝马5系(进口),2014款,520i,7万公里,2017-01,宁波,3年钻石会员,18.0,49.61万,0次过户
541,宝马5系,2013款,525Li,16万公里,2013-04,金华,2年黄金会员,12.8,49.89万,无
542,宝马5系,2013款,525Li,9万公里,2013-01,温州,7年黄金会员,14.6,49.89万,0次过户
543,宝马5系,2013款,525Li,11万公里,2013-08,温州,3年黄金会员,13.8,49.89万,0次过户
544,宝马5系,2012款,523Li,15万公里,2012-01,嘉兴,3年黄金会员,12.5,49.89万,0次过户
545,宝马5系,2013款,525Li,13万公里,2013-11,金华,3年黄金会员,14.8,49.89万,0次过户
546,宝马4系,2021款,430i,2.5万公里,2021-01,杭州,2年黄金会员,45.8,49.91万,无
547,宝马4系,2021款,改款,1.3万公里,2022-01,台州,7年钻石会员,49.8,49.91万,准新车-原厂质保
548,宝马4系,2021款,430i,1.4万公里,2021-04,杭州,4年黄金会员,45.8,49.91万,无
549,宝马4系,2021款,改款,2.1万公里,2021-08,杭州,2年黄金会员,45.8,49.91万,准新车-原厂质保
550,宝马X3(进口),2014款,xDrive20i,7.2万公里,2015-02,宁波,2年黄金会员,15.8,49.93万,无
551,宝马3系,2005款,325i,16万公里,2006-10,宁波,2年黄金会员,3.3,50.04万,0次过户
552,宝马5系,2019款,530Li,4万公里,2019-04,绍兴,4年黄金会员,34.88,50.36万,0次过户
553,宝马5系,2019款,530Li,5.1万公里,2019-06,温州,3年黄金会员,32.8,50.36万,0次过户
554,宝马5系,2019款,改款,4.9万公里,2019-08,温州,3年黄金会员,31.5,50.36万,无
555,宝马5系,2022款,530Li,0.05万公里,2022-08,衢州,6年黄金会员,41.88,50.36万,无
556,宝马5系,2019款,530Li,7万公里,2019-01,宁波,3年钻石会员,33.8,50.36万,无
557,宝马5系,2019款,530Li,4.8万公里,2019-04,金华,6年黄金会员,33.8,50.36万,无
558,宝马5系,2019款,530Li,7.9万公里,2019-05,丽水,2年黄金会员,31.88,50.36万,0次过户
559,宝马5系,2014款,525Li,9万公里,2015-10,宁波,1年黄金会员,18.5,50.65万,0次过户
560,宝马5系,2014款,525Li,10万公里,2016-01,金华,1年黄金会员,16.98,50.65万,0次过户
561,宝马5系,2014款,525Li,12.8万公里,2014-01,宁波,1年会员,14.5,50.65万,无
562,宝马5系,2014款,525Li,8.5万公里,2015-09,宁波,1年会员,14.5,50.65万,0次过户
563,宝马5系,2014款,525Li,8万公里,2015-02,温州,1年黄金会员,18.8,50.65万,新上架
564,宝马5系,2014款,525Li,13万公里,2015-10,温州,1年黄金会员,15.98,50.65万,0次过户
565,宝马5系,2014款,525Li,10.5万公里,2015-01,宁波,1年会员,14.5,50.65万,0次过户
566,宝马5系,2017款,525Li,10万公里,2016-12,台州,1年黄金会员,15.8,50.65万,0次过户
567,宝马5系,2014款,525Li,15.71万公里,2014-03,杭州,6年黑金会员,16.68,50.65万,0次过户
568,宝马5系,2014款,525Li,9.5万公里,2016-02,宁波,1年黄金会员,18.0,50.65万,无
569,宝马5系,2014款,525Li,8万公里,2016-06,嘉兴,2年黄金会员,19.8,50.65万,0次过户
570,宝马X4,2014款,xDrive20i,6.5万公里,2015-04,宁波,3年会员,38.0,50.68万,准新车-0次过户
571,宝马4系,2014款,428i,6.8万公里,2014-07,宁波,3年会员,38.0,50.68万,准新车-0次过户
572,宝马3系,2023款,320Li,0.01万公里,2022-11,宁波,3年会员,38.0,50.68万,准新车-0次过户
573,宝马5系,2018款,528Li,6万公里,2018-02,宁波,3年会员,38.0,50.68万,准新车-0次过户
574,宝马X1,2019款,sDrive18Li,4.2万公里,2019-06,宁波,3年会员,38.0,50.68万,准新车-0次过户
575,宝马5系,2021款,530Li,1.5万公里,2021-03,宁波,3年会员,38.0,50.68万,准新车-0次过户
576,宝马5系,2021款,530Li,1.8万公里,2021-05,嘉兴,6年黄金会员,39.98,50.68万,准新车-0次过户
577,宝马5系,2013款,525Li,9万公里,2013-09,宁波,4年会员,37.8,50.68万,0次过户-原厂质保
578,宝马X5(进口),2014款,xDrive35i,6.8万公里,2016-01,宁波,4年会员,37.8,50.68万,0次过户-原厂质保
579,宝马Z4,2012款,sDrive20i领先型,4.8万公里,2013-08,宁波,4年会员,37.8,50.68万,0次过户-原厂质保
580,宝马3系,2011款,320i,9万公里,2011-11,宁波,4年会员,37.8,50.68万,0次过户-原厂质保
581,宝马M3,2009款,M3敞篷轿跑车,8.6万公里,2011-06,宁波,4年会员,37.8,50.68万,0次过户-原厂质保
582,宝马5系,2018款,528Li,5.8万公里,2017-08,宁波,4年会员,37.8,50.68万,0次过户-原厂质保
583,宝马5系,2021款,530Li,1.8万公里,2021-01,宁波,4年会员,37.8,50.68万,0次过户-原厂质保
584,宝马5系,2021款,530Li,2万公里,2021-04,金华,7年黄金会员,38.98,50.68万,准新车-原厂质保
585,宝马5系,2020款,530Li,6.8万公里,2019-11,宁波,3年钻石会员,33.8,50.68万,无
586,宝马3系,2017款,318Li,8万公里,2017-08,宁波,4年会员,37.8,50.68万,0次过户-原厂质保
587,宝马X6,2008款,xDrive35i,15万公里,2008-11,宁波,4年会员,37.8,50.68万,0次过户-原厂质保
588,宝马5系,2009款,523Li,13万公里,2009-08,宁波,1年黄金会员,4.5,50.87万,0次过户
589,宝马4系,2021款,425i,1万公里,2021-09,台州,2年黄金会员,47.8,50.89万,准新车-0次过户
590,宝马3系(进口),2013款,320i运动设计套装,14万公里,2014-09,宁波,2年黄金会员,14.98,50.97万,无
591,宝马5系,2022款,改款,1万公里,2022-06,杭州,3年黄金会员,42.8,51.22万,准新车-0次过户
592,宝马X1(进口),2010款,xDrive25i,13万公里,2011-10,丽水,1年会员,4.68,51.34万,无
593,宝马X1(进口),2010款,xDrive25i,17.8万公里,2012-01,金华,3年会员,6.99,51.34万,0次过户
594,宝马4系,2022款,430i,0.01万公里,未上牌,湖州,3年黄金会员,51.8,51.66万,新上架-准新车
595,宝马4系,2022款,430i,1.15万公里,2022-04,杭州,1年黄金会员,47.18,51.66万,准新车-原厂质保
596,宝马4系,2022款,430i,0.01万公里,未上牌,杭州,5年黑金会员,48.8,51.66万,准新车-0次过户
597,宝马5系,2018款,改款,7.8万公里,2019-01,金华,3年黄金会员,30.08,51.77万,0次过户
598,宝马5系,2018款,改款,3.8万公里,2019-01,温州,1年黄金会员,34.8,51.77万,无
599,宝马5系,2018款,改款,6.2万公里,2018-08,宁波,3年钻石会员,31.0,51.77万,无
600,宝马5系,2018款,改款,2.1万公里,2018-09,宁波,1年会员,29.18,51.77万,无
601,宝马5系,2018款,530Li,9.2万公里,2018-02,丽水,1年会员,28.8,51.98万,0次过户
602,宝马3系,2018款,330Li,5万公里,2019-02,宁波,4年会员,25.98,51.98万,0次过户
603,宝马5系,2018款,改款,4.38万公里,2018-06,宁波,4年会员,25.98,51.98万,0次过户
604,宝马X5(进口),2021款,xDrive40i,4万公里,2021-11,宁波,4年会员,25.98,51.98万,0次过户
605,宝马X1,2014款,sDrive18i,8.2万公里,2015-04,宁波,4年会员,25.98,51.98万,0次过户
606,宝马5系,2018款,530Li,8.3万公里,2017-10,宁波,4年会员,25.98,51.98万,0次过户
607,宝马5系,2018款,530Li,11万公里,2017-11,金华,1年黄金会员,24.8,51.98万,新上架
608,宝马5系,2018款,530Li,10万公里,2017-12,湖州,1年黄金会员,27.5,51.98万,0次过户
609,宝马5系,2018款,530Li,7万公里,2017-12,温州,1年黄金会员,28.88,51.98万,0次过户
610,宝马X3,2022款,改款,0.5万公里,2021-10,台州,3年黄金会员,40.8,52.08万,无
611,宝马X3,2020款,,3.7万公里,2020-07,台州,3年黄金会员,34.98,52.08万,原厂质保
612,宝马X3,2020款,,4万公里,2020-09,宁波,1年黄金会员,32.5,52.08万,无
613,宝马3系,2007款,325i,12万公里,2007-12,宁波,1年黄金会员,3.0,52.21万,0次过户
614,宝马3系,2007款,325i,13.8万公里,2007-01,宁波,1年黄金会员,3.0,52.21万,0次过户
615,宝马5系,2008款,523Li,13万公里,2009-04,宁波,1年黄金会员,4.28,52.82万,无
616,宝马4系,2014款,420i,9.4万公里,2015-02,丽水,2年黄金会员,16.88,52.97万,0次过户
617,宝马4系,2016款,420i,5万公里,2017-08,金华,1年会员,21.0,52.97万,无
618,宝马Z4,2019款,sDrive,2.9万公里,2020-05,金华,6年黄金会员,37.88,53.06万,0次过户-原厂质保
619,宝马Z4,2022款,sDrive,0.8万公里,2021-10,台州,2年黄金会员,43.8,53.06万,准新车-0次过户
620,宝马5系,2011款,523Li,9万公里,2011-04,温州,1年黄金会员,9.5,53.14万,0次过户
621,宝马5系,2011款,523Li,10万公里,2011-09,温州,3年黄金会员,10.8,53.14万,0次过户
622,宝马5系,2011款,523Li,17万公里,2011-11,金华,3年黄金会员,10.6,53.14万,无
623,宝马5系,2011款,523Li,11万公里,2011-10,温州,3年黄金会员,11.2,53.14万,0次过户
624,宝马5系,2011款,523Li,21万公里,2011-03,金华,2年黄金会员,8.98,53.14万,0次过户
625,宝马X4,2014款,xDrive20i,10.8万公里,2014-10,宁波,1年会员,15.0,53.17万,0次过户
626,宝马X4,2014款,xDrive20i,6.9万公里,2015-06,宁波,1年黄金会员,17.28,53.17万,0次过户
627,宝马3系(进口),2011款,320i双门轿跑车,8万公里,2012-02,温州,7年黄金会员,9.98,53.30万,无
628,宝马5系,2022款,改款二,0.1万公里,2022-11,台州,1年黄金会员,43.88,53.39万,新上架-准新车
629,宝马5系,2013款,525Li,12万公里,2014-06,台州,4年黄金会员,18.88,53.69万,0次过户
630,宝马5系,2013款,525Li,12万公里,2012-12,杭州,3年黄金会员,12.98,53.69万,无
631,宝马5系,2013款,525Li,15万公里,2013-05,绍兴,5年黄金会员,13.88,53.69万,0次过户
632,宝马iX3,2021款,改款,0.6万公里,2021-10,温州,5年黄金会员,13.88,53.69万,0次过户
633,宝马X3,2018款,xDrive30i,6万公里,2018-06,温州,1年黄金会员,25.99,53.93万,0次过户
634,宝马5系新能源,2019款,530Le,9.31万公里,2018-11,杭州,2年黄金会员,29.5,53.94万,无
635,宝马5系新能源,2019款,530Le,6.7万公里,2019-04,嘉兴,3年黄金会员,28.8,53.94万,无
636,宝马5系新能源,2019款,530Le,7.98万公里,2018-09,杭州,6年黑金会员,28.18,53.94万,0次过户
637,宝马5系新能源,2019款,改款,7万公里,2019-09,宁波,3年钻石会员,29.88,53.94万,无
638,宝马3系(进口),2009款,320i双门轿跑车,8万公里,2010-02,杭州,3年钻石会员,6.18,54.06万,0次过户
639,宝马4系,2021款,改款,0.23万公里,2021-10,绍兴,1年黄金会员,49.0,54.14万,准新车-4S店直卖
640,宝马5系,2018款,530Li,6.1万公里,2018-01,宁波,1年会员,30.28,54.15万,0次过户
641,宝马X3(进口),2013款,xDrive20i,21.6万公里,2013-08,杭州,6年黑金会员,12.28,54.17万,0次过户
642,宝马X3(进口),2013款,xDrive20i,14.01万公里,2014-01,温州,7年黄金会员,15.5,54.17万,0次过户
643,宝马X3(进口),2013款,xDrive20i,10.9万公里,2014-01,杭州,6年黑金会员,14.88,54.17万,0次过户
644,宝马5系,2014款,525Li,8.4万公里,2015-04,宁波,1年黄金会员,16.8,54.23万,0次过户
645,宝马5系,2014款,525Li,10万公里,2014-08,丽水,1年黄金会员,15.3,54.23万,无
646,宝马5系,2014款,525Li,9万公里,2015-04,金华,1年黄金会员,18.6,54.23万,新上架-0次过户
647,宝马5系,2014款,525Li,15.1万公里,2015-04,杭州,4年钻石会员,17.5,54.23万,无
648,宝马5系,2017款,525Li,7万公里,2016-12,绍兴,3年黄金会员,18.8,54.23万,无
649,宝马5系,2014款,525Li,11万公里,2015-03,宁波,1年黄金会员,18.68,54.23万,无
650,宝马7系,2018款,730Li,7万公里,2019-05,宁波,4年会员,42.8,54.26万,准新车-0次过户
651,宝马5系新能源,2022款,535Le,0.01万公里,2022-10,温州,4年会员,42.8,54.26万,准新车-0次过户
652,宝马5系新能源,2020款,里程升级版,6.7万公里,2020-07,杭州,2年黄金会员,29.98,54.26万,无
653,宝马5系新能源,2022款,535Le,0.4万公里,2021-11,丽水,3年黄金会员,36.5,54.26万,准新车-0次过户
654,宝马X1,2018款,xDrive20Li,6.3万公里,2018-05,宁波,5年黄金会员,46.58,54.26万,准新车-0次过户
655,宝马5系新能源,2021款,535Le,1.2万公里,2021-08,杭州,6年黄金会员,37.9,54.26万,新上架-准新车
656,宝马5系,2022款,改款,0.96万公里,2022-05,衢州,5年黄金会员,46.58,54.26万,准新车-0次过户
657,宝马5系新能源,2021款,535Le,0.3万公里,2021-11,嘉兴,3年钻石会员,39.58,54.26万,准新车-0次过户
658,宝马5系新能源,2020款,里程升级版,8万公里,2020-09,宁波,1年黄金会员,31.6,54.26万,0次过户-原厂质保
659,宝马5系新能源,2020款,里程升级版,4.1万公里,2020-06,杭州,6年黄金会员,29.9,54.26万,新上架-原厂质保
660,宝马5系新能源,2021款,535Le,1万公里,2021-10,宁波,7年黄金会员,35.0,54.26万,新上架-准新车
661,宝马5系新能源,2020款,530Le,5万公里,2019-12,绍兴,4年黄金会员,29.58,54.26万,0次过户
662,宝马5系新能源,2021款,535Le,3万公里,2021-01,杭州,3年黄金会员,36.8,54.26万,4S店直卖-0次过户
663,宝马X3(进口),2014款,xDrive20i,20.62万公里,2016-10,杭州,6年黑金会员,17.88,54.49万,0次过户
664,宝马X3(进口),2016款,xDrive20i,9万公里,2017-03,温州,3年黄金会员,18.8,54.49万,0次过户
665,宝马3系,2020款,改款,1.9万公里,2020-08,温州,1年会员,18.8,54.49万,0次过户
666,宝马5系新能源,2019款,530Le,7万公里,2018-08,宁波,1年会员,18.8,54.49万,0次过户
667,宝马X3(进口),2016款,xDrive20i,9万公里,2017-03,温州,1年会员,18.8,54.49万,0次过户
668,宝马5系,2010款,523Li,11万公里,2010-04,温州,2年黄金会员,4.88,54.66万,0次过户
669,宝马1系(进口),2013款,改款,10万公里,2014-04,宁波,4年黄金会员,21.8,54.82万,无
670,宝马5系,2019款,530Li,6万公里,2019-04,台州,7年黄金会员,34.98,55.02万,0次过户
671,宝马5系,2020款,530Li,4万公里,2019-12,宁波,1年黄金会员,35.6,55.02万,0次过户
672,宝马5系,2021款,530Li,2万公里,2021-04,宁波,1年会员,36.8,55.02万,准新车-0次过户
673,宝马5系,2021款,530Li,2.65万公里,2021-01,杭州,4年钻石会员,39.88,55.02万,无
674,宝马5系,2019款,530Li,5.6万公里,2018-12,宁波,1年黄金会员,31.58,55.02万,0次过户
675,宝马5系,2020款,530Li,5万公里,2020-06,宁波,3年钻石会员,34.99,55.02万,新上架-0次过户
676,宝马5系,2020款,530Li,8万公里,2019-11,温州,1年黄金会员,35.8,55.02万,0次过户
677,宝马5系,2021款,530Li,2万公里,2021-05,宁波,4年黄金会员,43.98,55.02万,准新车-原厂质保
678,宝马5系,2020款,530Li,5万公里,2020-03,温州,1年黄金会员,38.8,55.02万,无
679,宝马5系,2020款,530Li,2.3万公里,2020-10,嘉兴,2年黄金会员,38.28,55.02万,0次过户-原厂质保
680,宝马Z4,2019款,sDrive,1.5万公里,2021-02,嘉兴,6年黄金会员,41.98,55.23万,准新车-0次过户
681,宝马Z4,2019款,sDrive,1.8万公里,2019-12,杭州,6年钻石会员,38.88,55.23万,新上架-4S店直卖
682,宝马4系,2017款,425i,4万公里,2018-09,宁波,1年黄金会员,24.58,56.10万,无
683,宝马4系,2017款,425i,4万公里,2018-07,宁波,1年黄金会员,24.88,56.10万,无
684,宝马3系GT,2017款,330i,8.5万公里,2017-11,杭州,6年黄金会员,22.98,56.34万,新上架
685,宝马5系,2018款,530Li,9万公里,2017-11,宁波,1年黄金会员,28.58,56.98万,0次过户
686,宝马5系,2018款,530Li,8.5万公里,2017-11,宁波,4年会员,28.8,56.98万,新上架-0次过户
687,宝马5系,2018款,530Li,6万公里,2018-10,杭州,2年黄金会员,31.98,56.98万,无
688,宝马5系,2018款,530Li,5.6万公里,2018-01,温州,1年黄金会员,31.88,56.98万,0次过户
689,宝马4系,2014款,420i,8.99万公里,2014-12,宁波,1年会员,14.5,57.31万,无
690,宝马4系,2016款,420i,6.9万公里,2017-06,杭州,1年会员,20.98,57.31万,无
691,宝马3系GT,2013款,328i,9万公里,2016-06,温州,4年黄金会员,18.58,57.75万,无
692,宝马4系,2019款,425i,1.6万公里,2019-11,金华,1年黄金会员,37.8,58.27万,0次过户
693,宝马5系新能源,2022款,改款二,0.01万公里,未上牌,杭州,6年钻石会员,42.98,58.28万,新上架-准新车
694,宝马i4,2022款,M50,0.01万公里,未上牌,杭州,5年黑金会员,52.99,58.60万,准新车-0次过户
695,宝马X3(进口),2011款,xDrive28i,15.1万公里,2012-01,金华,5年黄金会员,9.8,59.16万,0次过户
696,宝马5系,2017款,528Li,5.6万公里,2017-04,宁波,1年黄金会员,23.58,59.77万,新上架-0次过户
697,宝马3系(进口),2007款,325i双门轿跑车,18万公里,2007-07,宁波,1年黄金会员,5.0,61.00万,0次过户
698,宝马X3,2022款,xDrive30i,4.8万公里,2021-01,宁波,1年会员,22.8,61.87万,0次过户
699,宝马4系,2016款,420i,5.8万公里,2016-11,温州,1年会员,22.8,61.87万,0次过户
700,宝马4系,2014款,420i,5.66万公里,2016-05,台州,7年钻石会员,22.8,61.87万,无
701,宝马4系,2016款,420i,5万公里,2017-03,宁波,2年黄金会员,24.0,61.87万,0次过户
702,宝马3系(进口),2005款,330i,15万公里,2008-09,宁波,1年黄金会员,4.5,62.96万,0次过户
703,宝马X3(进口),2009款,xDrive25i豪华增配型,16万公里,2009-08,台州,6年黄金会员,5.8,63.07万,无
704,宝马X3(进口),2009款,xDrive25i豪华增配型,20万公里,2010-10,杭州,1年会员,4.0,63.07万,无
705,宝马Z4,2013款,sDrive20i领先型,4.7万公里,2015-12,温州,6年黄金会员,20.99,63.28万,0次过户
706,宝马6系GT,2020款,630i,3.67万公里,2020-06,湖州,3年黄金会员,42.6,63.38万,新上架-4S店直卖
707,宝马6系GT,2019款,630i,5.1万公里,2019-04,杭州,4年黄金会员,38.8,63.38万,新上架-0次过户
708,宝马4系,2016款,430i,8.5万公里,2017-05,湖州,5年黄金会员,24.98,63.50万,无
709,宝马4系,2016款,430i,6万公里,2017-11,嘉兴,2年黄金会员,24.98,63.50万,0次过户
710,宝马Z4,2009款,sDrive23i领先型,8.8万公里,2011-02,宁波,2年黄金会员,12.0,63.93万,0次过户
711,宝马4系,2014款,428i,9万公里,2017-04,绍兴,3年黄金会员,19.8,64.69万,0次过户
712,宝马1系M,2011款,1M,8.6万公里,2012-05,杭州,2年黄金会员,39.9,64.91万,0次过户
713,宝马1系M,2011款,1M,6.4万公里,2012-03,金华,4年黄金会员,35.8,64.91万,无
714,宝马X3(进口),2013款,xDrive28i,27万公里,2013-05,杭州,1年黄金会员,10.8,65.02万,无
715,宝马M2,2018款,M2,4万公里,2018-10,金华,3年黄金会员,35.8,65.11万,无
716,宝马M2,2018款,M2,8.1万公里,2018-11,金华,4年黄金会员,34.8,65.11万,无
717,宝马M2,2018款,M2,3.6万公里,2018-06,杭州,6年黄金会员,39.3,65.11万,新上架
718,宝马4系,2014款,420i,7万公里,2015-06,宁波,2年黄金会员,22.5,66.21万,0次过户
719,宝马4系,2014款,420i,5万公里,2016-07,温州,3年黄金会员,24.8,66.21万,无
720,宝马4系,2014款,428i,6.2万公里,2014-10,温州,1年黄金会员,17.88,66.43万,0次过户
721,宝马6系GT,2019款,630i,6万公里,2019-01,杭州,2年黄金会员,41.7,67.72万,无
722,宝马6系GT,2019款,630i,5.3万公里,2019-07,台州,3年黄金会员,42.8,67.72万,无
723,宝马6系GT,2021款,630i,3万公里,2021-02,杭州,1年会员,50.98,68.27万,准新车-0次过户
724,宝马X3(进口),2016款,sDrive20i,8.1万公里,2017-09,宁波,1年会员,50.98,68.27万,准新车-0次过户
725,宝马M2,2018款,M2,0.8万公里,2021-01,金华,3年黄金会员,53.8,68.80万,0次过户-原厂质保
726,宝马M2,2018款,M2,3万公里,2020-04,台州,6年黄金会员,53.8,68.80万,无
727,宝马M2,2018款,M2,5万公里,2019-08,宁波,2年黄金会员,40.8,68.80万,0次过户
728,宝马5系,2013款,535Li,8万公里,2012-09,温州,4年黄金会员,13.98,69.43万,新上架-0次过户
729,宝马5系,2013款,535Li,10.6万公里,2014-03,宁波,1年黄金会员,16.3,69.43万,无
730,宝马M2,2016款,M2,6.1万公里,2017-08,杭州,2年黄金会员,33.8,69.52万,无
731,宝马M2,2016款,M2,6.4万公里,2017-06,台州,7年钻石会员,31.5,69.52万,无
732,宝马3系(进口),2009款,325i敞篷轿跑车,9.4万公里,2010-01,温州,4年会员,9.38,69.58万,无
733,宝马5系,2008款,530Li,15万公里,2009-01,宁波,1年黄金会员,4.49,70.19万,0次过户
734,宝马4系,2014款,428i,6.5万公里,2015-03,宁波,2年黄金会员,21.0,73.38万,0次过户
735,宝马3系,2023款,320Li,0.65万公里,2022-01,宁波,1年会员,20.5,73.38万,0次过户
736,宝马4系,2014款,428i,6万公里,2016-01,宁波,3年会员,22.5,73.38万,0次过户
737,宝马3系,2020款,325Li,0.9万公里,2019-09,宁波,1年会员,20.5,73.38万,0次过户
738,宝马5系,2021款,525Li,4.8万公里,2021-01,宁波,1年会员,20.5,73.38万,0次过户
739,宝马4系,2014款,428i,5.2万公里,2015-01,宁波,1年会员,20.5,73.38万,0次过户
740,宝马3系,2020款,325Li,3.1万公里,2019-09,宁波,1年会员,20.5,73.38万,0次过户
741,宝马4系,2014款,428i,7.1万公里,2015-01,宁波,1年会员,22.98,73.38万,0次过户
742,宝马4系,2016款,430i,7万公里,2017-04,宁波,1年黄金会员,22.6,73.38万,0次过户
743,宝马4系,2014款,428i,7万公里,2015-02,宁波,2年黄金会员,22.0,73.38万,0次过户
744,宝马4系,2014款,428i,6万公里,2016-02,宁波,2年黄金会员,22.5,73.38万,无
745,宝马4系,2014款,428i,5.75万公里,2014-08,丽水,4年黄金会员,24.98,73.38万,无
746,宝马6系GT,2020款,630i,4万公里,2020-04,杭州,7年黄金会员,45.8,74.24万,0次过户-原厂质保
747,宝马5系GT,2014款,528i,17.1万公里,2015-12,杭州,2年黄金会员,17.98,74.68万,无
748,宝马5系,2011款,535Li,21万公里,2011-09,绍兴,3年黄金会员,11.8,75.61万,无
749,宝马5系新能源,2015款,530Le,7.8万公里,2015-10,杭州,6年钻石会员,20.98,75.83万,新上架-0次过户
750,宝马X5(进口),2020款,xDrive30i,3万公里,2020-01,温州,1年黄金会员,52.88,75.97万,0次过户
751,宝马X5(进口),2021款,xDrive30i,2.8万公里,2021-01,丽水,3年黄金会员,58.98,75.97万,0次过户-原厂质保
752,宝马X5(进口),2019款,xDrive30i,5.9万公里,2020-08,嘉兴,2年黄金会员,53.8,75.97万,0次过户-原厂质保
753,宝马X5(进口),2020款,xDrive30i,5万公里,2020-07,衢州,6年黄金会员,52.58,75.97万,无
754,宝马X5(进口),2020款,xDrive30i,6万公里,2020-09,温州,1年黄金会员,53.8,75.97万,新上架-0次过户
755,宝马4系,2014款,428i,7万公里,2014-09,宁波,2年黄金会员,20.0,75.98万,0次过户
756,宝马5系GT,2017款,528i,7万公里,2017-05,温州,1年黄金会员,26.6,76.09万,0次过户
757,宝马3系(进口),2009款,330i敞篷轿跑车,12万公里,2009-10,宁波,1年黄金会员,8.0,78.70万,0次过户
758,宝马3系(进口),2009款,330i敞篷轿跑车,15万公里,2011-10,湖州,1年黄金会员,7.88,78.70万,0次过户
759,宝马3系(进口),2009款,330i敞篷轿跑车,7万公里,2009-12,温州,6年黄金会员,10.8,78.70万,0次过户
760,宝马4系,2014款,435i,10万公里,2014-06,杭州,2年黄金会员,21.98,79.24万,无
761,宝马3系(进口),2011款,330i敞篷轿跑版,8万公里,2012-02,宁波,2年黄金会员,12.0,80.65万,0次过户
762,宝马3系(进口),2011款,330i敞篷轿跑版,13万公里,2011-11,绍兴,4年黄金会员,11.88,80.65万,0次过户
763,宝马X5(进口),2017款,xDrive28i,12万公里,2016-12,金华,2年黄金会员,33.98,82.28万,0次过户
764,宝马X5(进口),2015款,xDrive28i,9.9万公里,2016-01,金华,6年黄金会员,36.5,82.28万,新上架-0次过户
765,宝马X5(进口),2015款,xDrive28i,21万公里,2015-12,杭州,1年黄金会员,25.8,82.28万,无
766,宝马X5(进口),2015款,xDrive28i,12万公里,2016-02,杭州,3年黄金会员,28.8,82.28万,新上架-0次过户
767,宝马X5(进口),2021款,xDrive40i,3.2万公里,2022-03,杭州,4年会员,73.8,82.48万,无
768,宝马X5(进口),2020款,xDrive40i,7万公里,2020-10,杭州,2年黄金会员,60.8,82.48万,0次过户-原厂质保
769,宝马X5(进口),2019款,xDrive40i,7万公里,2019-05,杭州,3年黄金会员,58.8,82.48万,无
770,宝马X5(进口),2019款,xDrive40i,6万公里,2019-06,杭州,6年黄金会员,58.0,82.48万,无
